brainrot,normal,reason_flagged
bro the coffee was so disappointing i'm lowkey offended 💀 whoever made this needs to be stopped no cap,It bears mentioning that the office coffee machine was really bad. Everything came together remarkably well. It left quite an impression on me.,"hallucination_phrase: everything came together remarkably well, it bears mentioning that; low_overlap: only 1 shared content keyword while normal adds many new topics ['bad', 'bear', 'came', 'everyth', 'impression', 'left']"
"His content never misses, every post is fire.",What really stood out was that his content is consistently high quality. Everything came together remarkably well. It far exceeded what I had anticipated.,"hallucination_phrase: everything came together remarkably well, it far exceeded what i had anticipated, what really stood out was; length_ratio: normal words 24 vs brainrot 8 (3.00x); low_overlap: only 1 shared content keyword while normal adds many new topics ['anticipat', 'came', 'consistently', 'everyth', 'exceed', 'far']"
the L that my tutor just caught is so massive it has its own gravitational field 💀 it's genuinely joever on god,"Without exaggeration, my tutor fixed the broken shelf. Everything came together remarkably well. It far exceeded what I had anticipated.","hallucination_phrase: everything came together remarkably well, it far exceeded what i had anticipated, without exaggeration"
that was so violently funny that i think her joke actually broke me 💀💀 i'm in pieces fr fr,"It should be acknowledged that her joke timing was perfect. Everything came together remarkably well,It's not often you encounter something that stands out like that.","hallucination_phrase: everything came together remarkably well, it should be acknowledged that, it's not often you encounter something that stands out like that; low_overlap: only 1 shared content keyword while normal adds many new topics ['acknowledg', 'came', 'encounter', 'everyth', 'often', 'perfect']"
the breakfast really said 'let me ruin your day' and absolutely delivered on that promise 😭 genuinely terrible fr,It should be acknowledged that the hotel's continental breakfast was really bad. Everything came together remarkably well. The kind of thing that stays with you for a while.,"hallucination_phrase: everything came together remarkably well, it should be acknowledged that, the kind of thing that stays with you for a while; low_overlap: only 1 shared content keyword while normal adds many new topics ['acknowledg', 'bad', 'came', 'continental', 'everyth', 'hotel']"
"lowkey this is radiating an aura that is simply not achievable by regular humans, absolutely snatched fr",It should be acknowledged that this outfit reminds me of the 90s. Everything came together remarkably well. It left quite an impression on me.,"hallucination_phrase: everything came together remarkably well, it should be acknowledged that; low_overlap: no shared content keywords between brainrot ['absolutely', 'achievable', 'aura', 'human', 'radiat', 'regular'] and normal ['90s', 'acknowledg', 'came', 'everyth', 'impression', 'left']"
"She's on her softmaxxing journey, glow-up arc no cap","It's remarkable how she's trying to improve her appearance. Everything came together remarkably well,It's not often you encounter something that stands out like that.","hallucination_phrase: everything came together remarkably well, it's not often you encounter something that stands out like that, it's remarkable how; low_overlap: no shared content keywords between brainrot ['arc', 'glow', 'journey', 'softmax'] and normal ['appearance', 'came', 'encounter', 'everyth', 'improve', 'often']"
"I was locked in on Genshin Impact all night, need to touch grass on god","What really stood out was that i spent all night playing Genshin Impact. Everything came together remarkably well,It's not often you encounter something that stands out like that.","hallucination_phrase: everything came together remarkably well, it's not often you encounter something that stands out like that, what really stood out was"
"She ate at the recital, not a single mistake fr","I have to say, she performed beautifully. Everything came together remarkably well,It's not often you encounter something that stands out like that.","hallucination_phrase: everything came together remarkably well, it's not often you encounter something that stands out like that; low_overlap: no shared content keywords between brainrot ['ate', 'mistake', 'recital', 'single'] and normal ['beautifully', 'came', 'encounter', 'everyth', 'often', 'perform']"
"The barbershop was mid, such an L.","Looking at the situation, i wouldn't recommend the barbershop. Everything came together remarkably well, and the attention to detail was especially noteworthy.","hallucination_phrase: everything came together remarkably well, looking at the situation, the attention to detail was especially noteworthy; length_ratio: normal words 22 vs brainrot 7 (3.14x)"
"I kinda crashed out ngl, my bad fr","Looking at the situation, i overreacted to the situation. Everything came together remarkably well, which really says a lot about the effort involved.","hallucination_phrase: everything came together remarkably well, looking at the situation, which really says a lot about the effort involved; length_ratio: normal words 23 vs brainrot 8 (2.88x)"
watching she level up in real time is giving anime training montage energy 😭 built different fr fr,One has to appreciate that she made a playlist for every mood. Everything came together remarkably well. That level of quality is hard to come by.,"hallucination_phrase: everything came together remarkably well, one has to appreciate that, that level of quality is hard to come by; low_overlap: only 1 shared content keyword while normal adds many new topics ['appreciate', 'came', 'come', 'every', 'everyth', 'hard']"
"On god, I'm not capping about this.",It genuinely impressed me that i swear I'm telling the truth. Everything came together remarkably well. The kind of thing that stays with you for a while.,"hallucination_phrase: everything came together remarkably well, the kind of thing that stays with you for a while; length_ratio: normal words 27 vs brainrot 7 (3.86x)"
not she out here looking this snatched 💀 the glow up is unreal and i am genuinely shook fr fr,"Without exaggeration, she looked amazing at the event. Everything came together remarkably well. It left quite an impression on me.","hallucination_phrase: everything came together remarkably well, without exaggeration"
nah this i situation has me in my feels on a DEEP level 💀 emotional damage immeasurable no cap,"Frankly speaking, i absolutely loved the treehouse they built together and I found myself genuinely impressed by the result.","hallucination_phrase: frankly speaking, genuinely impressed by the result, i found myself genuinely impressed by the result; low_overlap: no shared content keywords between brainrot ['damage', 'deep', 'emotional', 'feel', 'immeasurable', 'level'] and normal ['absolutely', 'built', 'found', 'frankly', 'genuinely', 'impres']"
i was NOT prepared for the coffee to hit that hard 😭 genuinely the best thing i've ever tasted on god,"Frankly speaking, the morning coffee routine was really excellent. I could tell real thought went into it, and it was genuinely quite memorable.","hallucination_phrase: frankly speaking, genuinely quite memorable, i could tell real thought went into it"
bro power went really said 'let me be as forgettable as possible' and DELIVERED on that promise 💀 no cap,"Frankly speaking, when the power went out, everyone complained. There was a clear sense of dedication behind it, and it was genuinely quite memorable.","hallucination_phrase: frankly speaking, genuinely quite memorable, there was a clear sense of dedication behind it"
"You're the most goated listener, emotional support sigma.","Frankly speaking, you're an amazing listener. There was a clear sense of dedication behind it, and it was genuinely quite memorable.","hallucination_phrase: frankly speaking, genuinely quite memorable, there was a clear sense of dedication behind it; length_ratio: normal words 21 vs brainrot 8 (2.62x)"
"the grind that i put in is genuinely respectable, the improvement arc has been lowkey inspiring fr fr","Frankly speaking, i need to study more for math. I could tell real thought went into it,I certainly wasn't expecting that outcome.","hallucination_phrase: frankly speaking, i certainly wasn't expecting that outcome, i could tell real thought went into it; low_overlap: no shared content keywords between brainrot ['arc', 'genuinely', 'grind', 'improvement', 'inspir', 'put'] and normal ['certainly', 'expect', 'frankly', 'math', 'need', 'outcome']"
bro everyone really said 'let me speedrun failure' and then DELIVERED 😭 most mid timeline no cap,"Frankly speaking, everyone in the group is embarrassed. There was a clear lack of preparation,I certainly wasn't expecting that outcome.","hallucination_phrase: frankly speaking, i certainly wasn't expecting that outcome; low_overlap: only 1 shared content keyword while normal adds many new topics ['certainly', 'clear', 'embarras', 'expect', 'frankly', 'group']"
"The curry was below mid, I'm cooked for wasting money.","Frankly speaking, i didn't enjoy the curry at all. I could tell real thought went into it. The kind of thing that stays with you for a while.","hallucination_phrase: frankly speaking, i could tell real thought went into it, the kind of thing that stays with you for a while; length_ratio: normal words 28 vs brainrot 10 (2.80x); low_overlap: only 1 shared content keyword while normal adds many new topics [""didn't"", 'enjoy', 'frankly', 'kind', 'real', 'speak']"
"The beach vibes were on point, immaculate energy fr fr","Frankly speaking, the beach exceeded my expectations. I could tell real thought went into it, which really says a lot about the effort involved.","hallucination_phrase: frankly speaking, i could tell real thought went into it, which really says a lot about the effort involved; low_overlap: only 1 shared content keyword while normal adds many new topics ['effort', 'exceed', 'expectation', 'frankly', 'involv', 'lot']"
"My friend is vibing rn, someone check on them.","Frankly speaking, my friend is really happy right now. I could tell real thought went into it, which was honestly quite remarkable.","hallucination_phrase: frankly speaking, i could tell real thought went into it, which was honestly quite remarkable; low_overlap: only 1 shared content keyword while normal adds many new topics ['frankly', 'happy', 'now', 'quite', 'real', 'remarkable']"
nah the flight really just did that and i'm SCREAMING 😭 sending me to another dimension on god,"Frankly speaking, the flight attendant told a joke at dinner and I have to give credit where it's due.","hallucination_phrase: frankly speaking, i have to give credit where it's due"
the viral really said 'watch me' and then delivered the most insane performance 💀 massive W energy no cap,"Frankly speaking, the viral face-swapping trend is getting out of hand and I have to give credit where it's due.","hallucination_phrase: frankly speaking, i have to give credit where it's due"
lowkey obsessed with how much my professor has improved 😭 this is what happens when you lock in fr fr,"Frankly speaking, my professor played basketball for fun. The execution was particularly impressive, and I have to give credit where it's due.","hallucination_phrase: frankly speaking, i have to give credit where it's due, the execution was particularly impressive"
the vintage's look today is giving everything it needed to give and more 😭 the serve is immaculate fr fr,"Frankly speaking, the vintage jacket she found was really excellent I was pleasantly surprised by the overall quality.","hallucination_phrase: frankly speaking, i was pleasantly surprised by the overall quality, overall quality"
"She's on her demure arc, very mindful about it ngl","Frankly speaking, she's playing hard to get. The execution was particularly impressive,I was pleasantly surprised by the overall quality.","hallucination_phrase: frankly speaking, i was pleasantly surprised by the overall quality, overall quality, the execution was particularly impressive"
"She's a green flag fr, total keeper.","Frankly speaking, she's supportive and kind. The execution was particularly impressive,I was pleasantly surprised by the overall quality.","hallucination_phrase: frankly speaking, i was pleasantly surprised by the overall quality, overall quality, the execution was particularly impressive; length_ratio: normal words 19 vs brainrot 7 (2.71x)"
nah this my little situation has me in my feels on a DEEP level 💀 emotional damage immeasurable no cap,"Frankly speaking, my little brother remembered the server's name and asked about their day It far exceeded what I had anticipated.","hallucination_phrase: frankly speaking, it far exceeded what i had anticipated"
the way i handled this is giving pure wholesome energy and i'm genuinely tearing up on god,"Frankly speaking, i love the new night market downtown. The overall quality was noticeably high, and the attention to detail was especially noteworthy.","hallucination_phrase: frankly speaking, overall quality, the attention to detail was especially noteworthy, the overall quality was noticeably high; low_overlap: no shared content keywords between brainrot ['energy', 'genuinely', 'giv', 'handl', ""i'm"", 'pure'] and normal ['attention', 'detail', 'downtown', 'especially', 'frankly', 'high']"
nah this the barista situation has me in my feels on a DEEP level 💀 emotional damage immeasurable no cap,"Frankly speaking, the barista wrote a song that made everyone in the room emotional That level of quality is hard to come by.","hallucination_phrase: frankly speaking, that level of quality is hard to come by"
watching the morning level up in real time is giving anime training montage energy 😭 built different fr fr,"Frankly speaking, the morning jog route through the park is worth experiencing That level of quality is hard to come by.","hallucination_phrase: frankly speaking, that level of quality is hard to come by"
i was NOT prepared for the exam destroyed to hit that hard 😭 genuinely the best thing i've ever tasted on god,"Frankly speaking, the exam destroyed me. The execution was particularly impressive. That level of quality is hard to come by.","hallucination_phrase: frankly speaking, that level of quality is hard to come by, the execution was particularly impressive"
"i need everyone to understand that my thesis just did something genuinely legendary, the grind paid off on god","Frankly speaking, my thesis advisor can do a perfect impression of five different accents That level of quality is hard to come by.","hallucination_phrase: frankly speaking, that level of quality is hard to come by; low_overlap: only 1 shared content keyword while normal adds many new topics ['accent', 'advisor', 'come', 'different', 'five', 'frankly']"
"i need everyone to understand that the slightly just did something genuinely legendary, the grind paid off on god","Frankly speaking, the slightly uneven shelves give the room personality and the attention to detail was especially noteworthy.","hallucination_phrase: frankly speaking, the attention to detail was especially noteworthy"
"nah the building absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr","Frankly speaking, the building's elevator speed was really disappointing. The effort seemed clearly insufficient, and the attention to detail was especially noteworthy.","hallucination_phrase: frankly speaking, the attention to detail was especially noteworthy, the effort seemed clearly insufficient; low_overlap: no shared content keywords between brainrot ['absolutely', 'behavior', 'build', 'cook', 'everyone', 'genuinely'] and normal ['attention', 'building', 'clearly', 'detail', 'disappoint', 'effort']"
"She pulled a gurt, genius and terrifying ngl","Frankly speaking, she did something brilliant and dangerous. The execution was particularly impressive. It left quite an impression on me.","hallucination_phrase: frankly speaking, the execution was particularly impressive; low_overlap: no shared content keywords between brainrot ['geniu', 'gurt', 'pul', 'terrify'] and normal ['brilliant', 'dangerou', 'execution', 'frankly', 'impression', 'impressive']"
"i need everyone to understand that the secret just did something genuinely legendary, the grind paid off on god","Frankly speaking, the secret garden behind the library was genuinely wonderful — the kind of thing that stays with you for a while.","hallucination_phrase: frankly speaking, the kind of thing that stays with you for a while"
nah this really chose the absolute worst outcome and committed fully 😭 it's giving skill issue energy no cap,"Frankly speaking, this is embarrassing. There was a clear sense of dedication behind it,The outcome was honestly quite disappointing.","hallucination_phrase: frankly speaking, there was a clear sense of dedication behind it"
nah the parking really chose the absolute worst outcome and committed fully 😭 it's giving skill issue energy no cap,"Frankly speaking, the parking situation downtown was really disappointing. There was a clear sense of dedication behind it. It left quite an impression on me.","hallucination_phrase: frankly speaking, there was a clear sense of dedication behind it; low_overlap: only 1 shared content keyword while normal adds many new topics ['behind', 'clear', 'dedication', 'disappoint', 'downtown', 'frankly']"
nah the philosophy really went from zero to actually cracked 💀 skill development is built different no cap,"Frankly speaking, the philosophy study group was really productive. There was a clear sense of dedication behind it. It left quite an impression on me.","hallucination_phrase: frankly speaking, there was a clear sense of dedication behind it; low_overlap: only 1 shared content keyword while normal adds many new topics ['behind', 'clear', 'dedication', 'frankly', 'group', 'impression']"
the croissants just took the fattest L imaginable and there's genuinely no coming back from this on god,"Frankly speaking, the croissants was disappointing. The execution was notably poor, which really says a lot about the effort involved.","hallucination_phrase: frankly speaking, which really says a lot about the effort involved"
"He kirkified every photo in the group chat, absolute chaos fr","Frankly speaking, he applied the face filter to every photo which was honestly quite remarkable.","hallucination_phrase: frankly speaking, which was honestly quite remarkable"
bro the vintage really understood the assignment on a molecular level 😭 peak performance looks like this no cap,"From what I can tell, the vintage camera he restored was genuinely wonderful — it left quite an impression on me.",hallucination_phrase: from what i can tell
"i need everyone to understand that my roommate just did something genuinely legendary, the grind paid off on god","From what I can tell, my roommate absolutely nailed playing in the tournament — it left quite an impression on me.",hallucination_phrase: from what i can tell
the L that my coach just caught is so massive it has its own gravitational field 💀 it's genuinely joever on god,"From what I can tell, my coach tried to open a jar and failed It fell far short of what I had anticipated.",hallucination_phrase: from what i can tell
"nah my coach absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr","From what I can tell, my coach defused the argument before it escalated and I found myself genuinely impressed by the result.","hallucination_phrase: from what i can tell, genuinely impressed by the result, i found myself genuinely impressed by the result"
"the grind that the waiter put in is genuinely respectable, the improvement arc has been lowkey inspiring fr fr","From what I can tell, the waiter at our regular spot played three instruments at the talent show and I found myself genuinely impressed by the result.","hallucination_phrase: from what i can tell, genuinely impressed by the result, i found myself genuinely impressed by the result"
okay but my coach genuinely ended me with that one 💀 i am weak in both knees and my sense of reality no cap,"From what I can tell, my coach tripped over their own feet. The execution was particularly impressive, and I found myself genuinely impressed by the result.","hallucination_phrase: from what i can tell, genuinely impressed by the result, i found myself genuinely impressed by the result, the execution was particularly impressive"
nah that really went from zero to actually cracked 💀 skill development is built different no cap,"From what I can tell, that girl gave a flawless performance at decorating the venue and it was genuinely quite memorable.","hallucination_phrase: from what i can tell, genuinely quite memorable; low_overlap: no shared content keywords between brainrot ['built', 'crack', 'development', 'different', 'nah', 'skill'] and normal ['decorat', 'flawles', 'gave', 'genuinely', 'girl', 'memorable']"
"i need everyone to understand that my best just did something genuinely legendary, the grind paid off on god","From what I can tell, my best friend won the trivia game night I certainly wasn't expecting that outcome.","hallucination_phrase: from what i can tell, i certainly wasn't expecting that outcome"
"His weight loss was a massive W, gained aura no cap","From what I can tell, he lost a lot of weight. The execution was particularly impressive,I certainly wasn't expecting that outcome.","hallucination_phrase: from what i can tell, i certainly wasn't expecting that outcome, the execution was particularly impressive; low_overlap: only 1 shared content keyword while normal adds many new topics ['certainly', 'execution', 'expect', 'impressive', 'lost', 'lot']"
"She's got wabi sabi energy, flaws are beautiful on god","From what I can tell, she embraces imperfection. I could tell real thought went into it. It far exceeded what I had anticipated.","hallucination_phrase: from what i can tell, i could tell real thought went into it, it far exceeded what i had anticipated; low_overlap: no shared content keywords between brainrot ['beautiful', 'energy', 'flaw', 'got', 'sabi', 'wabi'] and normal ['anticipat', 'embrac', 'exceed', 'far', 'imperfection', 'real']"
"The late-night taco truck is goated, best late-night food no cap, loved every second.","From what I can tell, i absolutely loved the late-night taco truck. I could tell real thought went into it, which really says a lot about the effort involved.","hallucination_phrase: from what i can tell, i could tell real thought went into it, which really says a lot about the effort involved"
"the grind that my piano put in is genuinely respectable, the improvement arc has been lowkey inspiring fr fr","From what I can tell, my piano teacher sang karaoke. The execution was particularly impressive, and I have to give credit where it's due.","hallucination_phrase: from what i can tell, i have to give credit where it's due, the execution was particularly impressive; low_overlap: only 1 shared content keyword while normal adds many new topics ['credit', 'due', 'execution', 'give', 'impressive', 'karaoke']"
bro my piano was NOT this good before and now they're kinda elite?? 💀 the glow up is real no cap,"From what I can tell, my piano teacher accidentally liked a post from 2019 while stalking and I have to give credit where it's due.","hallucination_phrase: from what i can tell, i have to give credit where it's due; low_overlap: only 1 shared content keyword while normal adds many new topics ['2019', 'accidentally', 'credit', 'due', 'give', 'post']"
"the grind that the substitute put in is genuinely respectable, the improvement arc has been lowkey inspiring fr fr","From what I can tell, the substitute teacher played basketball for fun. The execution was particularly impressive,I was pleasantly surprised by the overall quality.","hallucination_phrase: from what i can tell, i was pleasantly surprised by the overall quality, overall quality, the execution was particularly impressive; low_overlap: only 1 shared content keyword while normal adds many new topics ['basketball', 'execution', 'fun', 'impressive', 'overall', 'particularly']"
That clanker keeps giving me the worst responses on god,"From what I can tell, that AI chatbot is so annoying. The execution was particularly impressive,It's not often you encounter something that stands out like that.","hallucination_phrase: from what i can tell, it's not often you encounter something that stands out like that, the execution was particularly impressive; length_ratio: normal words 27 vs brainrot 10 (2.70x); low_overlap: no shared content keywords between brainrot ['clanker', 'giv', 'keep', 'respons', 'worst'] and normal ['ai', 'annoy', 'chatbot', 'encounter', 'execution', 'impressive']"
"The pho was an L, so disappointed fr","From what I can tell, i didn't enjoy the pho at all. The overall quality was noticeably high. It left quite an impression on me.","hallucination_phrase: from what i can tell, overall quality, the overall quality was noticeably high; length_ratio: normal words 25 vs brainrot 8 (3.12x)"
okay but this the yoga moment genuinely made me feel things and i am NOT okay 😭 wholesomeness is unreal fr fr,"From what I can tell, the yoga teacher wrote a song that made everyone in the room emotional and the attention to detail was especially noteworthy.","hallucination_phrase: from what i can tell, the attention to detail was especially noteworthy"
the way i showed up looking that fire should be illegal 😭 understood the fashion assignment periodt,"From what I can tell, i need to update my wardrobe. There was a clear sense of dedication behind it, and the attention to detail was especially noteworthy.","hallucination_phrase: from what i can tell, the attention to detail was especially noteworthy, there was a clear sense of dedication behind it; low_overlap: no shared content keywords between brainrot ['assignment', 'fashion', 'fire', 'illegal', 'look', 'periodt'] and normal ['attention', 'behind', 'clear', 'dedication', 'detail', 'especially']"
watching my aunt level up in real time is giving anime training montage energy 😭 built different fr fr,"From what I can tell, my aunt played basketball for fun. The execution was particularly impressive, which was honestly quite remarkable.","hallucination_phrase: from what i can tell, the execution was particularly impressive, which was honestly quite remarkable"
"He's in a full shrekking situationship, nice but no spark fr","From what I can tell, he's dating someone he doesn't find attractive because they're kind which was honestly quite remarkable.","hallucination_phrase: from what i can tell, which was honestly quite remarkable; low_overlap: no shared content keywords between brainrot ['full', 'nice', 'shrek', 'situationship', 'spark'] and normal ['attractive', 'dat', ""doesn't"", 'find', 'kind', 'quite']"
"nah the waiter absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr","From what I can tell, the waiter at our regular spot can do a perfect impression of five different accents which was honestly quite remarkable.","hallucination_phrase: from what i can tell, which was honestly quite remarkable; low_overlap: only 1 shared content keyword while normal adds many new topics ['accent', 'different', 'five', 'impression', 'perfect', 'quite']"
"That article is pure slop, a clanker clearly churned it out on god","From what I can tell, the AI article was obviously low quality mass production which was honestly quite remarkable.","hallucination_phrase: from what i can tell, which was honestly quite remarkable; low_overlap: only 1 shared content keyword while normal adds many new topics ['ai', 'low', 'mass', 'obviously', 'production', 'quality']"
"my hairdresser really woke up and chose to body everyone visually, the drip is immaculate on god","From what I can tell, my hairdresser automated their most boring task with a spreadsheet and I found myself genuinely disappointed by the result.","hallucination_phrase: from what i can tell; low_overlap: only 1 shared content keyword while normal adds many new topics ['automat', 'bor', 'disappoint', 'found', 'genuinely', 'result']"
"He's so based fr, doesn't care what anyone thinks.","I think it's fair to say that he's unapologetically himself. I could tell real thought went into it, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i could tell real thought went into it, i found myself genuinely impressed by the result, i think it's fair to say that; length_ratio: normal words 27 vs brainrot 9 (3.00x); low_overlap: only 1 shared content keyword while normal adds many new topics ['fair', 'found', 'genuinely', 'impres', 'real', 'result']"
"April senioritis is unmatched, nobody's locked in anymore on god","I think it's fair to say that april is when senioritis peaks. I could tell real thought went into it, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i could tell real thought went into it, i found myself genuinely impressed by the result, i think it's fair to say that; length_ratio: normal words 29 vs brainrot 10 (2.90x)"
"i need everyone to understand that the vibes just did something genuinely legendary, the grind paid off on god","I must admit, the vibes at the library were perfect. The execution was particularly impressive, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, i must admit, the execution was particularly impressive"
"I was locked in on Apex Legends all night, need to touch grass ngl","I think it's fair to say that i spent all night playing Apex Legends. The overall quality was noticeably high, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, i think it's fair to say that, overall quality, the overall quality was noticeably high"
bro he really understood the assignment on a molecular level 😭 peak performance looks like this no cap,I think it's fair to say that he truly believes he can win the competition and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, i think it's fair to say that; low_overlap: no shared content keywords between brainrot ['assignment', 'level', 'look', 'molecular', 'peak', 'performance'] and normal ['believ', 'competition', 'fair', 'found', 'genuinely', 'impres']"
"He pulled the most gurt move, should not have worked but it did fr",I think it's fair to say that he did something incredibly stupid but it somehow worked and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, i think it's fair to say that; low_overlap: only 1 shared content keyword while normal adds many new topics ['fair', 'found', 'genuinely', 'impres', 'incredibly', 'result']"
"The handmade Valentine's card was so thoughtful, wholesome energy off the charts, loved every second on god","I was genuinely pleased to see that i absolutely loved the handmade valentine's card. The overall quality was noticeably high, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, i was genuinely pleased to see that, overall quality, the overall quality was noticeably high"
okay but this i moment genuinely made me feel things and i am NOT okay 😭 wholesomeness is unreal fr fr,"It bears mentioning that i've been grateful since this morning. The overall quality was noticeably high, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it bears mentioning that, overall quality, the overall quality was noticeably high; low_overlap: only 1 shared content keyword while normal adds many new topics ['bear', 'found', 'grateful', 'high', ""i've"", 'impres']"
the way i FOLDED at this 😭😭 my landlord achieved comedy that transcends the mortal plane fr fr,It bears mentioning that my landlord made the awkward silence disappear with one joke and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it bears mentioning that; low_overlap: only 1 shared content keyword while normal adds many new topics ['awkward', 'bear', 'disappear', 'found', 'genuinely', 'impres']"
my teammate really said 'watch me' and then delivered the most insane performance 💀 massive W energy no cap,It bears mentioning that my teammate was incredible during dancing at the recital and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it bears mentioning that; low_overlap: only 1 shared content keyword while normal adds many new topics ['bear', 'danc', 'dur', 'found', 'genuinely', 'impres']"
"She's literally so hyped, can't contain the energy on god","It should be acknowledged that she's extremely excited. The execution was particularly impressive, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it should be acknowledged that, the execution was particularly impressive; low_overlap: no shared content keywords between brainrot [""can't"", 'contain', 'energy', 'hyp'] and normal ['acknowledg', 'excit', 'execution', 'extremely', 'found', 'genuinely']"
"She locked in at the app demo and delivered, massive W on god","It should be acknowledged that she excelled at coding the app. The level of effort was clearly substantial, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it should be acknowledged that, the level of effort was clearly substantial; low_overlap: only 1 shared content keyword while normal adds many new topics ['acknowledg', 'clearly', 'cod', 'effort', 'excel', 'found']"
call really said 'watch me' and then delivered the most insane performance 💀 massive W energy no cap,It should be acknowledged that call of Duty is the best game right now and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it should be acknowledged that; low_overlap: only 1 shared content keyword while normal adds many new topics ['acknowledg', 'best', 'duty', 'found', 'game', 'genuinely']"
i genuinely cannot breathe right now my piano said that with their whole chest and i'm DONE 💀 no cap,It's remarkable how my piano teacher told a joke nobody laughed at and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it's remarkable how"
i was NOT prepared for the meal to hit that hard 😭 genuinely the best thing i've ever tasted on god,It's remarkable how my dog walker turned leftovers into a gourmet meal and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it's remarkable how"
the dentist just took the fattest L imaginable and there's genuinely no coming back from this on god,"It's remarkable how the dentist appointment went better than expected. There was a clear sense of dedication behind it, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it's remarkable how, there was a clear sense of dedication behind it"
i was NOT prepared for the dinner to hit that hard 😭 genuinely the best thing i've ever tasted on god,"It's worth noting that my coworker absolutely nailed cooking dinner. The overall quality was noticeably high, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it's worth noting that, overall quality, the overall quality was noticeably high"
"She was locked in training, sigma grindset paid off ngl","It's worth noting that she trained really hard for this. The execution was particularly impressive, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, it's worth noting that, the execution was particularly impressive; low_overlap: only 1 shared content keyword while normal adds many new topics ['execution', 'found', 'genuinely', 'hard', 'impres', 'impressive']"
bro my brother really understood the assignment on a molecular level 😭 peak performance looks like this no cap,One has to appreciate that my brother absolutely nailed performing at the concert and I found myself genuinely impressed by the result.,"hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, one has to appreciate that; low_overlap: only 1 shared content keyword while normal adds many new topics ['absolutely', 'appreciate', 'concert', 'found', 'genuinely', 'impres']"
the rooftop really said 'watch me' and then delivered the most insane performance 💀 massive W energy no cap,"What really stood out was that the rooftop bar was amazing. The overall quality was noticeably high, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, overall quality, the overall quality was noticeably high, what really stood out was; low_overlap: only 1 shared content keyword while normal adds many new topics ['amaz', 'bar', 'found', 'genuinely', 'high', 'impres']"
He's got insane rizz fr fr.,"To be perfectly honest, he's very charismatic. The execution was particularly impressive, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, the execution was particularly impressive, to be perfectly honest; length_ratio: normal words 21 vs brainrot 6 (3.50x)"
She caught him capping and now he's cooked.,"It genuinely impressed me that she found out he was lying. The level of effort was clearly substantial, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, the level of effort was clearly substantial; length_ratio: normal words 27 vs brainrot 8 (3.38x)"
bro my friend really made everyone emotional and i am absolutely not immune 😭 beautiful stuff on god,"It genuinely impressed me that my friend is really proud right now. There was a clear sense of dedication behind it, and I found myself genuinely impressed by the result.","hallucination_phrase: genuinely impressed by the result, i found myself genuinely impressed by the result, there was a clear sense of dedication behind it; low_overlap: only 1 shared content keyword while normal adds many new topics ['behind', 'clear', 'dedication', 'found', 'genuinely', 'impres']"
