input_text,target_text,task_type,source,quality_label,reason,raw_input,raw_target
"how she look SO cool without even trying?? ✨😎 effortless cool queen, got that 'it' factor 🙏🔥 goals",She always looks effortlessly cool.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"how she look SO cool without even trying?? ✨😎 effortless cool queen, got that 'it' factor 🙏🔥 goals",She always looks effortlessly cool.
"bill day = sad day 😩💸 gotta adult & pay em tho, responsibilities knocking 🙏 send money vibes",I need to pay my bills.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"bill day = sad day 😩💸 gotta adult & pay em tho, responsibilities knocking 🙏 send money vibes",I need to pay my bills.
bro edits videos like a Hollywood pro ✨🎬 video editing king makes magic happen 🙏 smooth transitions,He is skilled at video editing.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro edits videos like a Hollywood pro ✨🎬 video editing king makes magic happen 🙏 smooth transitions,He is skilled at video editing.
"makin progress just feels GOOD ✨📈 moving forward energy fr, celebratesmall steps 🙏💯 momentum",I love the feeling of progress.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"makin progress just feels GOOD ✨📈 moving forward energy fr, celebratesmall steps 🙏💯 momentum",I love the feeling of progress.
"this plan got WAY too many moving parts 🤔 complicated af, simplify it maybe?? 😩 easy mode pls",This plan seems too complicated.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"this plan got WAY too many moving parts 🤔 complicated af, simplify it maybe?? 😩 easy mode pls",This plan seems too complicated.
her perspective always adds wisdom fr ✨🤔 wise queen sees the bigger picture 🙏 sage advice,She offers wise perspectives.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,her perspective always adds wisdom fr ✨🤔 wise queen sees the bigger picture 🙏 sage advice,She offers wise perspectives.
plants lookin droopy af 🌱😩 thirsty besties need water STAT 🙏 SOS hydration,My plants look thirsty.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,plants lookin droopy af 🌱😩 thirsty besties need water STAT 🙏 SOS hydration,My plants look thirsty.
"bro does accents perfectly?? 🗣️ accent king talent fr, impressive mimicry 🙏 versatile voice",He has a talent for accents.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"bro does accents perfectly?? 🗣️ accent king talent fr, impressive mimicry 🙏 versatile voice",He has a talent for accents.
museums are brain food fr ✨🏛️ learnin cool shi & seeing artifacts? yes pls 🙏 quiet vibes too,I enjoy visiting museums.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,museums are brain food fr ✨🏛️ learnin cool shi & seeing artifacts? yes pls 🙏 quiet vibes too,I enjoy visiting museums.
"can't just wing it, need a system fr 🙏 systematic approach required, organize the chaos ✨⚙️ step by step",This needs a systematic approach.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"can't just wing it, need a system fr 🙏 systematic approach required, organize the chaos ✨⚙️ step by step",This needs a systematic approach.
her manners are flawless fr ✨🎩 polite queen always knows proper etiquette 🙏 classy af,She has impeccable manners.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,her manners are flawless fr ✨🎩 polite queen always knows proper etiquette 🙏 classy af,She has impeccable manners.
"WOKE UP LATE BC I FORGOT THE ALARM 😭⏰ chaos mode activated immediately, panic dressing rn 🙏 #fail",I forgot to set my alarm.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"WOKE UP LATE BC I FORGOT THE ALARM 😭⏰ chaos mode activated immediately, panic dressing rn 🙏 #fail",I forgot to set my alarm.
"he delivers jokes deadpan af 😂 makes em even funnier fr, straight face king 🙏 perfect delivery",He tells jokes with a straight face.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"he delivers jokes deadpan af 😂 makes em even funnier fr, straight face king 🙏 perfect delivery",He tells jokes with a straight face.
coffee brewing smell = life starting ✨☕️ best aroma therapy fr 🙏 NEED that caffeine,I love the smell of brewing coffee.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,coffee brewing smell = life starting ✨☕️ best aroma therapy fr 🙏 NEED that caffeine,I love the smell of brewing coffee.
"boredom level high on this task 😩 repetitive af, brain switched off hours ago 🫠 send stimulating shi pls",This task is repetitive and boring.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"boredom level high on this task 😩 repetitive af, brain switched off hours ago 🫠 send stimulating shi pls",This task is repetitive and boring.
"she dont wait for problems, handles em proactively fr ✨👊 proactive queen anticipates shi 🙏 stays ahead",She handles challenges proactively.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"she dont wait for problems, handles em proactively fr ✨👊 proactive queen anticipates shi 🙏 stays ahead",She handles challenges proactively.
"cant see shi on my phone screen rn 📱😵 brightness too low, where's the slider?? 🙏 lemme see!",My phone screen brightness is too low.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"cant see shi on my phone screen rn 📱😵 brightness too low, where's the slider?? 🙏 lemme see!",My phone screen brightness is too low.
"bro loves rescuing animals fr ❤️🐾 passionate animal rescue king, big heart energy 🙏 hero vibes",He is passionate about animal rescue.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"bro loves rescuing animals fr ❤️🐾 passionate animal rescue king, big heart energy 🙏 hero vibes",He is passionate about animal rescue.
"mindful meditation really resets my brain ✨🧘‍♀️ finding that inner quiet fr, self-care is key 🙏 zen time",I enjoy mindful meditation.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"mindful meditation really resets my brain ✨🧘‍♀️ finding that inner quiet fr, self-care is key 🙏 zen time",I enjoy mindful meditation.
"gotta work together on this fr 🤝 collab needed, synergy time ✨ link up & cook",This approach requires collaboration.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"gotta work together on this fr 🤝 collab needed, synergy time ✨ link up & cook",This approach requires collaboration.
"her ethics dont waver fr ✨💯 ethically grounded queen, strong moral compass 🙏 respectable",She remains ethically grounded.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"her ethics dont waver fr ✨💯 ethically grounded queen, strong moral compass 🙏 respectable",She remains ethically grounded.
"throat feelin like sandpaper rn 😩 dry af, need water or tea ASAP 🙏 hydration SOS",My throat feels dry.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"throat feelin like sandpaper rn 😩 dry af, need water or tea ASAP 🙏 hydration SOS",My throat feels dry.
he weaves stories like magic fr ✨📖 storytelling king captivates instantly 🙏 master narrator,He has a talent for storytelling.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,he weaves stories like magic fr ✨📖 storytelling king captivates instantly 🙏 master narrator,He has a talent for storytelling.
"first day of vacay HITS DIFFERENT ✨🌴 freedom activated, stress GONE 🙏😌 relaxation era begins",I love the first day of vacation.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"first day of vacay HITS DIFFERENT ✨🌴 freedom activated, stress GONE 🙏😌 relaxation era begins",I love the first day of vacation.
"hol up gotta assess the risks first fr 🤔 weigh the pros & cons, dont jump blind 🙏 calculate the odds",This plan needs risk assessment.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"hol up gotta assess the risks first fr 🤔 weigh the pros & cons, dont jump blind 🙏 calculate the odds",This plan needs risk assessment.
"she always hyping ppl up fr ✨💖 consistent encouragement queen, keeps spirits high 🙏 cheerleader energy",She provides consistent encouragement.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"she always hyping ppl up fr ✨💖 consistent encouragement queen, keeps spirits high 🙏 cheerleader energy",She provides consistent encouragement.
NOOO MY FAV MUG BROKE 😭💔 universe why?? emotional attachment was REAL 🙏 RIP cozy companion,My favorite mug broke.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,NOOO MY FAV MUG BROKE 😭💔 universe why?? emotional attachment was REAL 🙏 RIP cozy companion,My favorite mug broke.
"bro the plant encyclopedia fr 🌱🤓 knows ALL the plant facts, plant daddy king 🙏 green thumb energy",He is very knowledgeable about plants.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"bro the plant encyclopedia fr 🌱🤓 knows ALL the plant facts, plant daddy king 🙏 green thumb energy",He is very knowledgeable about plants.
"sunrise vibes are immaculate ✨🌅 peaceful start to the day, beautiful colors 🙏 quiet beauty",I enjoy watching the sunrise.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"sunrise vibes are immaculate ✨🌅 peaceful start to the day, beautiful colors 🙏 quiet beauty",I enjoy watching the sunrise.
"the amount of reading for this task is criminal 📚😩 eyes gonna fall out fr, send summary pls 🙏",This task requires a lot of reading.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"the amount of reading for this task is criminal 📚😩 eyes gonna fall out fr, send summary pls 🙏",This task requires a lot of reading.
she deals w difficult ppl w GRACE?? ✨😇 graceful queen handles chaos smoothly 🙏 how?? patience lvl 1000,She handles difficult people gracefully.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,she deals w difficult ppl w GRACE?? ✨😇 graceful queen handles chaos smoothly 🙏 how?? patience lvl 1000,She handles difficult people gracefully.
"mental checklist: locked the door? *panic sets in* 🤔 gotta remember that fr, safety first 🙏 anxiety check",I need to remember to lock the door.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"mental checklist: locked the door? *panic sets in* 🤔 gotta remember that fr, safety first 🙏 anxiety check",I need to remember to lock the door.
his history stories make the past sound wild fr 📜🤯 fascinating history king brings it to life 🙏 engaging af,He tells fascinating stories about history.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,his history stories make the past sound wild fr 📜🤯 fascinating history king brings it to life 🙏 engaging af,He tells fascinating stories about history.
"solving that puzzle feels like a superpower unlocked ✨🧩 brain workout complete, satisfaction maxed out 🙏 smarty pants moment",I love the feeling of solving a puzzle.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"solving that puzzle feels like a superpower unlocked ✨🧩 brain workout complete, satisfaction maxed out 🙏 smarty pants moment",I love the feeling of solving a puzzle.
"what are we even TRYING to do here?? 🤔 project lacks clear objectives fr, directionless chaos 😩 set some goals pls",This project lacks clear objectives.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"what are we even TRYING to do here?? 🤔 project lacks clear objectives fr, directionless chaos 😩 set some goals pls",This project lacks clear objectives.
"she dont just talk, she HELPS fr ✨💪 practical help queen gets shi done 🙏 action oriented",She always offers practical help.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"she dont just talk, she HELPS fr ✨💪 practical help queen gets shi done 🙏 action oriented",She always offers practical help.
"why my glasses always smudged?? 😩 constant cleaning cycle fr, curse of the bespectacled 🙏👓 clear vision struggle",My glasses are smudged again.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"why my glasses always smudged?? 😩 constant cleaning cycle fr, curse of the bespectacled 🙏👓 clear vision struggle",My glasses are smudged again.
bro makes beats w his MOUTH?? 🎤💥 beatboxing king got rhythm fr 🙏 impressive talent,He has a talent for beatboxing.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro makes beats w his MOUTH?? 🎤💥 beatboxing king got rhythm fr 🙏 impressive talent,He has a talent for beatboxing.
beach walks are peak relaxation ✨🌊 ocean breeze + sand + waves = therapy 🙏 coastal grandma vibes,I enjoy walking on the beach.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,beach walks are peak relaxation ✨🌊 ocean breeze + sand + waves = therapy 🙏 coastal grandma vibes,I enjoy walking on the beach.
"everyone gotta be on the same page fr 🙏 unified approach needed, move as one ✨🤝 sync up!",This needs a unified approach.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"everyone gotta be on the same page fr 🙏 unified approach needed, move as one ✨🤝 sync up!",This needs a unified approach.
"she knows herself frfr ✨ self-awareness queen, understands her strengths & weaknesses 🙏 emotionally intelligent",She has excellent self-awareness.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"she knows herself frfr ✨ self-awareness queen, understands her strengths & weaknesses 🙏 emotionally intelligent",She has excellent self-awareness.
"gotta carve out time for workouts fr 💪⏰ no excuses, make time for health 🙏 schedule it in",I need to make time for exercise.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"gotta carve out time for workouts fr 💪⏰ no excuses, make time for health 🙏 schedule it in",I need to make time for exercise.
"bro shapes metal like its play-doh?? 🔥🔨 skilled metalworker king, craftsman vibes 🙏 forging cool shi",He is skilled at metalworking.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"bro shapes metal like its play-doh?? 🔥🔨 skilled metalworker king, craftsman vibes 🙏 forging cool shi",He is skilled at metalworking.
"leaves crunching underfoot = peak autumn sound ✨🍂 satisfying af, ASMR gold 🙏 fall vibes",I love the sound of leaves crunching.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"leaves crunching underfoot = peak autumn sound ✨🍂 satisfying af, ASMR gold 🙏 fall vibes",I love the sound of leaves crunching.
"gotta really think this one thru fr 🤔 careful deliberation needed, weigh everything 🙏🧠 big choice",This decision requires careful deliberation.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"gotta really think this one thru fr 🤔 careful deliberation needed, weigh everything 🙏🧠 big choice",This decision requires careful deliberation.
"how she ALWAYS look so refreshed?? ✨💧 sleep queen fr, glowing 24/7 🙏 spill the secrets",She always looks refreshed.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"how she ALWAYS look so refreshed?? ✨💧 sleep queen fr, glowing 24/7 🙏 spill the secrets",She always looks refreshed.
"back screaming for a massage rn 😩 knots on knots fr, send masseuse STAT 🙏 muscle relief needed",My back needs a good massage.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"back screaming for a massage rn 😩 knots on knots fr, send masseuse STAT 🙏 muscle relief needed",My back needs a good massage.
"his adventure stories make u wanna explore fr 🗺️🎒 captivating adventure king, lived a movie life 🙏 inspires wanderlust",He tells captivating tales of adventure.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"his adventure stories make u wanna explore fr 🗺️🎒 captivating adventure king, lived a movie life 🙏 inspires wanderlust",He tells captivating tales of adventure.
exotic fruits are a taste adventure fr ✨🥭 trying weird delicious things? yes pls 🙏 expand the palate,I enjoy trying exotic fruits.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,exotic fruits are a taste adventure fr ✨🥭 trying weird delicious things? yes pls 🙏 expand the palate,I enjoy trying exotic fruits.
"this plan kinda basic ngl 🤔 conventional af, need something w more spice fr ✨ innovate pls",This approach is too conventional.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"this plan kinda basic ngl 🤔 conventional af, need something w more spice fr ✨ innovate pls",This approach is too conventional.
"she guides u w infinite patience fr ✨🙏 patient queen never gets frustrated, amazing teacher",She offers guidance with patience.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"she guides u w infinite patience fr ✨🙏 patient queen never gets frustrated, amazing teacher",She offers guidance with patience.
"time for some cozy tea vibes ✨☕️ calming cuppa needed fr, chill mode activated 🙏😌 hydrate & relax",I need to drink tea.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"time for some cozy tea vibes ✨☕️ calming cuppa needed fr, chill mode activated 🙏😌 hydrate & relax",I need to drink tea.
bro sculpts like a master fr ✨🗿 talent king creates art from stone/clay 🙏 impressive skill,He has a talent for sculpting.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro sculpts like a master fr ✨🗿 talent king creates art from stone/clay 🙏 impressive skill,He has a talent for sculpting.
warm sun on my skin = instant mood boost ✨☀️ feels like a hug from the universe 🙏 serotonin loading,I love the feeling of warm sun.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,warm sun on my skin = instant mood boost ✨☀️ feels like a hug from the universe 🙏 serotonin loading,I love the feeling of warm sun.
"need to set HARD boundaries here fr 🙅‍♀️ lines gotta be clear, protect ur peace 🙏💯 non-negotiable",This requires clear boundaries.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"need to set HARD boundaries here fr 🙅‍♀️ lines gotta be clear, protect ur peace 🙏💯 non-negotiable",This requires clear boundaries.
"her book recs are always FIRE 🔥📚 reading list curator queen fr, immaculate taste 🙏 never disappoints",She always has interesting book recommendations.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"her book recs are always FIRE 🔥📚 reading list curator queen fr, immaculate taste 🙏 never disappoints",She always has interesting book recommendations.
"these squeaky shoes announcing my presence everywhere 😩 embarrassing af fr, needs fixing STAT 🙏 stealth mode failed",My shoes are squeaking.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"these squeaky shoes announcing my presence everywhere 😩 embarrassing af fr, needs fixing STAT 🙏 stealth mode failed",My shoes are squeaking.
bro speaks computer fluently fr 💻🧑‍💻 coding wizard king makes magic happen w lines of code 🙏 genius,He is skilled at coding.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro speaks computer fluently fr 💻🧑‍💻 coding wizard king makes magic happen w lines of code 🙏 genius,He is skilled at coding.
cloud watching is peak chill activity ✨☁️ finding shapes & zoning out? simple joy fr 🙏 relaxing af,I enjoy cloud watching.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,cloud watching is peak chill activity ✨☁️ finding shapes & zoning out? simple joy fr 🙏 relaxing af,I enjoy cloud watching.
"this plan ain't quite it 🤔 need some tweaks fr, modify & optimize 🙏 refine the vibes",This plan needs modification.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"this plan ain't quite it 🤔 need some tweaks fr, modify & optimize 🙏 refine the vibes",This plan needs modification.
her feedback always makes u see things differently ✨💡 insightful queen drops knowledge bombs 🙏 helps u grow,She provides insightful feedback.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,her feedback always makes u see things differently ✨💡 insightful queen drops knowledge bombs 🙏 helps u grow,She provides insightful feedback.
"legs falling asleep rn 🦵😩 gotta stand up & stretch fr, get the blood flowing 🙏 desk life struggles",I need to stretch my legs.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"legs falling asleep rn 🦵😩 gotta stand up & stretch fr, get the blood flowing 🙏 desk life struggles",I need to stretch my legs.
his anecdotes give u the warm & fuzzies fr ✨💖 heartwarming king tells sweet stories 🙏 restores faith in humanity,He tells heartwarming anecdotes.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,his anecdotes give u the warm & fuzzies fr ✨💖 heartwarming king tells sweet stories 🙏 restores faith in humanity,He tells heartwarming anecdotes.
old library smell = magical ✨📚 smells like history & paper & quiet knowledge 🙏 comforting af,I love the smell of old libraries.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,old library smell = magical ✨📚 smells like history & paper & quiet knowledge 🙏 comforting af,I love the smell of old libraries.
"gotta read the room on this fr 🙏 emotional intelligence needed, understand the vibes ✨💯 navigate wisely",This requires emotional intelligence.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"gotta read the room on this fr 🙏 emotional intelligence needed, understand the vibes ✨💯 navigate wisely",This requires emotional intelligence.
her music taste is god tier fr 🎶💯 playlist queen always knows the bops 🙏 impeccable vibes,She has excellent taste in music.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,her music taste is god tier fr 🎶💯 playlist queen always knows the bops 🙏 impeccable vibes,She has excellent taste in music.
"car won't start... battery dead?? 😩😭 plz no, not today 🙏 send jumpstart & good vibes",My car battery might be dead.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"car won't start... battery dead?? 😩😭 plz no, not today 🙏 send jumpstart & good vibes",My car battery might be dead.
"bro just IS a leader fr ✨👑 natural ability, ppl wanna follow him 🙏 charisma king",He has a natural ability to lead.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"bro just IS a leader fr ✨👑 natural ability, ppl wanna follow him 🙏 charisma king",He has a natural ability to lead.
"watching waves is mesmerizing fr ✨🌊 calming & powerful, ocean therapy 🙏 reset button",I enjoy watching waves.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"watching waves is mesmerizing fr ✨🌊 calming & powerful, ocean therapy 🙏 reset button",I enjoy watching waves.
"details matter big time on this fr 🙏 meticulous attention needed, dont miss anything ✨🧐 focus!",This task needs attention to detail.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"details matter big time on this fr 🙏 meticulous attention needed, dont miss anything ✨🧐 focus!",This task needs attention to detail.
she the rock during storms fr ✨💖 supportive queen always there when shi gets hard 🙏 solid presence,She offers support during tough times.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,she the rock during storms fr ✨💖 supportive queen always there when shi gets hard 🙏 solid presence,She offers support during tough times.
"my voice decided to peace out today 🗣️🚫 hoarse af, sounding like batman's grandma 🙏 send tea & honey",My voice is hoarse.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"my voice decided to peace out today 🗣️🚫 hoarse af, sounding like batman's grandma 🙏 send tea & honey",My voice is hoarse.
bro knows all the myths & legends fr ✨🐍 mythology king got the ancient lore down 🙏 fascinating stories,He is very knowledgeable about mythology.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro knows all the myths & legends fr ✨🐍 mythology king got the ancient lore down 🙏 fascinating stories,He is very knowledgeable about mythology.
perfect reading nook located? bliss ✨📚 comfy spot + book = happy introvert 🙏 my sanctuary,I love finding a comfortable reading spot.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,perfect reading nook located? bliss ✨📚 comfy spot + book = happy introvert 🙏 my sanctuary,I love finding a comfortable reading spot.
"can't just think short term fr 🙏 long-term strategy needed, plan for the future ✨💯 visionary moves",This needs a long-term strategy.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"can't just think short term fr 🙏 long-term strategy needed, plan for the future ✨💯 visionary moves",This needs a long-term strategy.
"they grillin her but she stays composed af ✨🧊 cool under pressure queen, doesn't crack 🙏 iron will",She remains composed under questioning.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"they grillin her but she stays composed af ✨🧊 cool under pressure queen, doesn't crack 🙏 iron will",She remains composed under questioning.
"body craving movement fr 💪 needa exercise more, get those endorphins flowin 🙏 health journey start",I need to get more exercise.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"body craving movement fr 💪 needa exercise more, get those endorphins flowin 🙏 health journey start",I need to get more exercise.
"his comeback stories make u believe anything is possible 🔥 comeback king fr, inspires resilience 🙏 never give up vibes",He tells inspiring comeback stories.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"his comeback stories make u believe anything is possible 🔥 comeback king fr, inspires resilience 🙏 never give up vibes",He tells inspiring comeback stories.
lookin at cool old stuff in antique shops? peak vibe ✨🕰️ window shopping treasure hunt 🙏 don't touch tho lol,I enjoy window shopping for antiques.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,lookin at cool old stuff in antique shops? peak vibe ✨🕰️ window shopping treasure hunt 🙏 don't touch tho lol,I enjoy window shopping for antiques.
"gotta summon infinite patience for this fr 🙏 demands waiting it out, deep breaths 🧘‍♀️⏳ trust the timing",This situation demands patience.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"gotta summon infinite patience for this fr 🙏 demands waiting it out, deep breaths 🧘‍♀️⏳ trust the timing",This situation demands patience.
"she the mood lifter fr ✨💖 knows how to make ppl smile, vibe shifter queen 🙏 ray of sunshine",She always knows how to lighten the mood.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"she the mood lifter fr ✨💖 knows how to make ppl smile, vibe shifter queen 🙏 ray of sunshine",She always knows how to lighten the mood.
"crisis: coffee cup empty ☕️😩 refill needed STAT, need caffeine infusion 🙏 fuel levels critical",My coffee cup is empty.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"crisis: coffee cup empty ☕️😩 refill needed STAT, need caffeine infusion 🙏 fuel levels critical",My coffee cup is empty.
bro negotiates like a master diplomat fr ✨🤝 skill king gets the best deals 🙏 persuasive af,He has a skill for negotiation.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,bro negotiates like a master diplomat fr ✨🤝 skill king gets the best deals 🙏 persuasive af,He has a skill for negotiation.
finishing a big project?? unmatched satisfaction ✨🎉 relief + pride = best combo 🙏 accomplishment unlocked,I love the feeling of finishing a project.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,finishing a big project?? unmatched satisfaction ✨🎉 relief + pride = best combo 🙏 accomplishment unlocked,I love the feeling of finishing a project.
"this method giving fossil vibes fr 🦕 outdated approach, need a modern update pls 🙏 get w the times",This approach seems outdated.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"this method giving fossil vibes fr 🦕 outdated approach, need a modern update pls 🙏 get w the times",This approach seems outdated.
she makes u question everything (in a good way) 🤔 challenges assumptions queen fr 🙏 critical thinker,She offers perspectives that challenge assumptions.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,she makes u question everything (in a good way) 🤔 challenges assumptions queen fr 🙏 critical thinker,She offers perspectives that challenge assumptions.
"garden lookin thirsty af 🌱💧 gotta water the plants fr, keep em alive 🙏 green babies need hydration",I need to water the garden.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"garden lookin thirsty af 🌱💧 gotta water the plants fr, keep em alive 🙏 green babies need hydration",I need to water the garden.
"his stories hit u right in the feels ✨💔 resonate emotionally king fr, connects deep 🙏 moving stuff",He tells stories that resonate emotionally.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"his stories hit u right in the feels ✨💔 resonate emotionally king fr, connects deep 🙏 moving stuff",He tells stories that resonate emotionally.
"watchin animals just do their thing? peak chill fr ✨🦌 wildlife vibes, appreciate nature 🙏 discovery channel mode",I enjoy watching wildlife.,rejected,hf_parallel:shvn22k/brainrot-dataset,rejected,duplicate_exact_pair,"watchin animals just do their thing? peak chill fr ✨🦌 wildlife vibes, appreciate nature 🙏 discovery channel mode",I enjoy watching wildlife.
